m_star, r_d, sigma_1au, sigma_rd, F_FUV, log10(m_dot)
3.000000, 5.000000, 1.000000e+02, 2.000000e+01, 1.000000e+02, -15.785369
3.000000, 500.000000, 1.000000e+03, 2.000000e+00, 1.000000e+02, -7.573801
3.000000, 250.000000, 1.000000e+03, 4.000000e+00, 1.000000e+02, -9.610632
3.000000, 150.000000, 1.000000e+03, 6.666667e+00, 1.000000e+02, -11.630157
3.000000, 100.000000, 1.000000e+03, 1.000000e+01, 1.000000e+02, -11.714088
3.000000, 80.000000, 1.000000e+03, 1.250000e+01, 1.000000e+02, -11.966695
3.000000, 60.000000, 1.000000e+03, 1.666667e+01, 1.000000e+02, -12.422910
3.000000, 40.000000, 1.000000e+03, 2.500000e+01, 1.000000e+02, -13.481718
3.000000, 20.000000, 1.000000e+03, 5.000000e+01, 1.000000e+02, -14.530855
3.000000, 10.000000, 1.000000e+03, 1.000000e+02, 1.000000e+02, -15.246954
3.000000, 5.000000, 1.000000e+03, 2.000000e+02, 1.000000e+02, -15.701796
3.000000, 500.000000, 1.000000e+04, 2.000000e+01, 1.000000e+02, -7.205475
3.000000, 250.000000, 1.000000e+04, 4.000000e+01, 1.000000e+02, -9.335643
3.000000, 150.000000, 1.000000e+04, 6.666667e+01, 1.000000e+02, -11.580193
3.000000, 100.000000, 1.000000e+04, 1.000000e+02, 1.000000e+02, -11.639900
3.000000, 80.000000, 1.000000e+04, 1.250000e+02, 1.000000e+02, -11.976163
3.000000, 60.000000, 1.000000e+04, 1.666667e+02, 1.000000e+02, -12.360150
3.000000, 40.000000, 1.000000e+04, 2.500000e+02, 1.000000e+02, -12.530950
3.000000, 20.000000, 1.000000e+04, 5.000000e+02, 1.000000e+02, -14.116656
3.000000, 10.000000, 1.000000e+04, 1.000000e+03, 1.000000e+02, -15.236388
3.000000, 5.000000, 1.000000e+04, 2.000000e+03, 1.000000e+02, -15.738262
3.000000, 500.000000, 1.000000e+05, 2.000000e+02, 1.000000e+02, -6.843014
3.000000, 250.000000, 1.000000e+05, 4.000000e+02, 1.000000e+02, -9.241108
3.000000, 150.000000, 1.000000e+05, 6.666667e+02, 1.000000e+02, -11.824699
3.000000, 100.000000, 1.000000e+05, 1.000000e+03, 1.000000e+02, -11.767326
3.000000, 80.000000, 1.000000e+05, 1.250000e+03, 1.000000e+02, -12.247196
3.000000, 60.000000, 1.000000e+05, 1.666667e+03, 1.000000e+02, -12.336286
3.000000, 40.000000, 1.000000e+05, 2.500000e+03, 1.000000e+02, -13.118009
3.000000, 20.000000, 1.000000e+05, 5.000000e+03, 1.000000e+02, -13.790215
3.000000, 10.000000, 1.000000e+05, 1.000000e+04, 1.000000e+02, -15.018849
3.000000, 5.000000, 1.000000e+05, 2.000000e+04, 1.000000e+02, -15.637581
3.000000, 500.000000, 1.000000e+00, 2.000000e-03, 1.000000e+03, -7.034437
3.000000, 250.000000, 1.000000e+00, 4.000000e-03, 1.000000e+03, -7.527082
3.000000, 150.000000, 1.000000e+00, 6.666667e-03, 1.000000e+03, -9.558130
3.000000, 100.000000, 1.000000e+00, 1.000000e-02, 1.000000e+03, -10.914881
3.000000, 80.000000, 1.000000e+00, 1.250000e-02, 1.000000e+03, -11.495987
3.000000, 60.000000, 1.000000e+00, 1.666667e-02, 1.000000e+03, -12.218790
3.000000, 40.000000, 1.000000e+00, 2.500000e-02, 1.000000e+03, -13.650472
3.000000, 20.000000, 1.000000e+00, 5.000000e-02, 1.000000e+03, -13.733412
3.000000, 10.000000, 1.000000e+00, 1.000000e-01, 1.000000e+03, -14.804751
3.000000, 5.000000, 1.000000e+00, 2.000000e-01, 1.000000e+03, -15.132359
3.000000, 500.000000, 1.000000e+01, 2.000000e-02, 1.000000e+03, -6.028823
3.000000, 250.000000, 1.000000e+01, 4.000000e-02, 1.000000e+03, -6.727007
3.000000, 150.000000, 1.000000e+01, 6.666667e-02, 1.000000e+03, -8.664901
3.000000, 100.000000, 1.000000e+01, 1.000000e-01, 1.000000e+03, -10.605377
3.000000, 80.000000, 1.000000e+01, 1.250000e-01, 1.000000e+03, -11.227385
3.000000, 60.000000, 1.000000e+01, 1.666667e-01, 1.000000e+03, -11.595910
3.000000, 40.000000, 1.000000e+01, 2.500000e-01, 1.000000e+03, -12.624361
3.000000, 20.000000, 1.000000e+01, 5.000000e-01, 1.000000e+03, -13.774817
3.000000, 10.000000, 1.000000e+01, 1.000000e+00, 1.000000e+03, -14.528344
3.000000, 5.000000, 1.000000e+01, 2.000000e+00, 1.000000e+03, -15.230520
3.000000, 500.000000, 1.000000e+02, 2.000000e-01, 1.000000e+03, -5.317975
3.000000, 250.000000, 1.000000e+02, 4.000000e-01, 1.000000e+03, -6.831796
3.000000, 150.000000, 1.000000e+02, 6.666667e-01, 1.000000e+03, -8.715670
3.000000, 100.000000, 1.000000e+02, 1.000000e+00, 1.000000e+03, -10.207454
3.000000, 80.000000, 1.000000e+02, 1.250000e+00, 1.000000e+03, -10.751844
3.000000, 60.000000, 1.000000e+02, 1.666667e+00, 1.000000e+03, -11.205970
3.000000, 40.000000, 1.000000e+02, 2.500000e+00, 1.000000e+03, -12.298955
3.000000, 20.000000, 1.000000e+02, 5.000000e+00, 1.000000e+03, -13.726943
3.000000, 10.000000, 1.000000e+02, 1.000000e+01, 1.000000e+03, -14.513090
3.000000, 5.000000, 1.000000e+02, 2.000000e+01, 1.000000e+03, -14.768721
3.000000, 500.000000, 1.000000e+03, 2.000000e+00, 1.000000e+03, -5.598906
3.000000, 250.000000, 1.000000e+03, 4.000000e+00, 1.000000e+03, -6.874472
3.000000, 150.000000, 1.000000e+03, 6.666667e+00, 1.000000e+03, -8.600637
3.000000, 100.000000, 1.000000e+03, 1.000000e+01, 1.000000e+03, -10.126087
3.000000, 80.000000, 1.000000e+03, 1.250000e+01, 1.000000e+03, -10.561456
3.000000, 60.000000, 1.000000e+03, 1.666667e+01, 1.000000e+03, -11.388453
3.000000, 40.000000, 1.000000e+03, 2.500000e+01, 1.000000e+03, -12.266277
3.000000, 20.000000, 1.000000e+03, 5.000000e+01, 1.000000e+03, -13.704567
3.000000, 10.000000, 1.000000e+03, 1.000000e+02, 1.000000e+03, -14.420365
3.000000, 5.000000, 1.000000e+03, 2.000000e+02, 1.000000e+03, -14.623857
3.000000, 500.000000, 1.000000e+04, 2.000000e+01, 1.000000e+03, -5.531276
